,Original,Simplified,Model,Adequacy,Fluency,Simplicity
906,“The rights and freedoms set forth in the European Convention for the Protection of Human Rights and Fundamental Freedoms and its Protocols shall apply directly in Bosnia and Herzegovina. These shall have priority over all other law.”,The European Convention for the Protection of Human Rights and Fundamental Freedoms and its Protocols shall apply directly in Bosnia and Herzegovina and shall have priority over all other law.,M4,,,
907,“The rights and freedoms set forth in the European Convention for the Protection of Human Rights and Fundamental Freedoms and its Protocols shall apply directly in Bosnia and Herzegovina. These shall have priority over all other law.”,“ The rights and immunities set forth in the European Convention for the Protection of Human Rights and Fundamental Freedoms and its Protocols shall apply directly in Bosnia and Herzegovina . These shall have priority over all other law . ”,M5,,,
908,“The rights and freedoms set forth in the European Convention for the Protection of Human Rights and Fundamental Freedoms and its Protocols shall apply directly in Bosnia and Herzegovina. These shall have priority over all other law.”,âThe rights and and set forth in the European Convention for the Protection of Human Rights and Fundamental Freedoms and its Protocols shall apply directly in Bosnia and Herzegovina. These shall have priority over all other law.â,M6,,,
909,“The rights and freedoms set forth in the European Convention for the Protection of Human Rights and Fundamental Freedoms and its Protocols shall apply directly in Bosnia and Herzegovina. These shall have priority over all other law.”,Âthe rights and and in the European Convention for the Protection of Human Rights and Fundamental and its. Shall apply directly in Bosnia and Herzegovina. shall have priority over all other law.â,M7,,,
910,"On 4 May 2005 the applicant instituted civil proceedings in the Podilskyy District Court of Kyiv against the Police Office, claiming that his arrest and detention had been unlawful and seeking compensation on this account.","On 4 May 2005 the applicant instituted civil proceedings in the Podilskyy District Court of Kyiv against the Police Office, claiming that his arrest and detention had been unlawful and seeking compensation on this account.",M1,,,
911,"On 4 May 2005 the applicant instituted civil proceedings in the Podilskyy District Court of Kyiv against the Police Office, claiming that his arrest and detention had been unlawful and seeking compensation on this account.","On 4 May 2005 the government started civil action in the Podilskyy District Court of Kyiv against the Police Office , arguing that his arrest and detention had been illegal and sought damages on this account .",M2,,,
912,"On 4 May 2005 the applicant instituted civil proceedings in the Podilskyy District Court of Kyiv against the Police Office, claiming that his arrest and detention had been unlawful and seeking compensation on this account.","On 4 May 2005 the government started civil action in the Podilskyy District Court of Kyiv against the Police Office , claiming that his arrest and detention had been illegal and seeking relief on this account .",M3,,,
913,"On 4 May 2005 the applicant instituted civil proceedings in the Podilskyy District Court of Kyiv against the Police Office, claiming that his arrest and detention had been unlawful and seeking compensation on this account.","On May 4, 2005 he started civil proceedings in the Podilskyy District Court of Kyiv against the Police Office. He said that his arrest and detention had been illegal and that he should be given back his money.",M4,,,
914,"On 4 May 2005 the applicant instituted civil proceedings in the Podilskyy District Court of Kyiv against the Police Office, claiming that his arrest and detention had been unlawful and seeking compensation on this account.","On 4 May 2005 the applicant created civil proceedings in the Podilskyy District Court of Kyiv against the Police Office , avowing that his arrest and detainment had been improper and wanting recompense on this account .",M5,,,
915,"On 4 May 2005 the applicant instituted civil proceedings in the Podilskyy District Court of Kyiv against the Police Office, claiming that his arrest and detention had been unlawful and seeking compensation on this account.","On 4 May 2005 the time did civil case in the Podilskyy District Court of Kyiv against the Police Office, claiming that his arrest and detention had been wrong and seeking money on this account.",M6,,,
